,T,P,FDR,HOLM
PRRT2,-6.457752852516965,1.0626910295373017e-10,2.94455386105165e-09,1.4483416041563884e-06
MAGEB4,-1.198448638824691,0.23074240678465696,0.3568588115209996,1.0
NXT2,2.8917418161552004,0.003831126382040959,0.013360746124641115,1.0
CNOT3,-2.915067526383283,0.0035561159025910343,0.012587973618135212,1.0
WWP2,-0.8518574664756343,0.39429320642981036,0.5277363295891554,1.0
ISLR2,1.330926453937749,0.18321321181146044,0.2996093191449411,1.0
SLC37A3,-1.2181960525087672,0.22314947940152896,0.34841384205177434,1.0
HS1BP3,2.878933465438392,0.00399022507250957,0.013752755259663654,1.0
EPB41L1,0.5520775008130172,0.5808952560975378,0.694979339674705,1.0
MAP3K8,1.0090751679345324,0.3129385860571493,0.4460905151921735,1.0
ELAVL1,-5.1305172603978475,2.889470617432241e-07,3.7239139096861462e-06,0.003768447579255129
LRRC31,1.9040124650075956,0.05690856079669018,0.11933747145410943,1.0
BIRC2,-1.5504328815804191,0.12103765148429055,0.2174924144236019,1.0
SNRPG,2.2648191620815767,0.023523779038313427,0.059030739801859286,1.0
GAS2L2,-1.926556538328683,0.05403491942313486,0.11444879262985477,1.0
TOR1A,0.09105330270617572,0.9274502374829302,0.9550103028065308,1.0
CCDC106,1.0163310132768224,0.3094717848492251,0.4426213550023616,1.0
FBXO7,2.582724617662002,0.00980235304736373,0.029004953408042787,1.0
SLC12A9,1.1674361620108495,0.24303427458430837,0.3708712613220797,1.0
ZNF273,-5.16379190501032,2.4199671994597156e-07,3.1942790096409287e-06,0.0031624131362539562
P2RY14,4.533924281204713,5.789779166977353e-06,5.3084239859095864e-05,0.07293384816641373
PLSCR5,-2.1996681307007133,0.02783044948075938,0.06749137330372229,1.0
EXT1,-4.626790060559833,3.713766215301752e-06,3.581529792082958e-05,0.0470645592465191
MAN1C1,-0.6097560616036892,0.542023411543483,0.6620412088468045,1.0
SNTA1,-2.446609992622661,0.014420678852257526,0.03969277160499003,1.0
RNF207,-1.1936947810741796,0.23259738273567687,0.35884567842830634,1.0
FRYL,2.119754886573037,0.034026721624680206,0.07914935675053121,1.0
PRR13,4.2010197930840985,2.657153567755145e-05,0.00019627396625351222,0.3248370236580665
FAM162B,-5.247376871658833,1.5428009214512027e-07,2.13217198704566e-06,0.0020235376885753974
ZNF354A,-0.6486818851868361,0.5165440155137652,0.6402508345280419,1.0
GRPEL1,2.053127560096911,0.04006020767265953,0.0903159330371648,1.0
MPL,-1.209222691994355,0.22657730203763138,0.35228746246651627,1.0
RICTOR,-1.5796002774100397,0.1141984356964778,0.20776444265561747,1.0
RNF145,-0.702878772491952,0.4821313010678734,0.6100207924196881,1.0
HPS6,-0.22093362805514732,0.8251441129302262,0.8861962525529882,1.0
ACP2,1.224681413314903,0.2206952798163193,0.34519193119184893,1.0
COX10,2.6134295738651647,0.008963855575496954,0.02702153307598634,1.0
YAF2,1.1310448623547456,0.2580362095694275,0.3875910404338872,1.0
GFOD2,2.1780821035767293,0.029399924723472658,0.07036670657532697,1.0
PCP4,10.435010641331752,1.7159452884171002e-25,3.369449234394578e-23,2.413820237216335e-21
TMEM140,3.1333712034542045,0.0017281074167755921,0.0068494484604354694,1.0
LILRP2,2.4862306930568345,0.012910424399698651,0.03624531222169121,1.0
KIAA1324,-5.349524555384734,8.818559574639506e-08,1.2987166173568056e-06,0.0011621979663417406
LRRC14,5.055707121361444,4.2879896633567813e-07,5.3225283459647215e-06,0.005574386562363816
RAET1K,0.22808405561498674,0.8195808952082264,0.8826943402401617,1.0
PTPN23,1.04141738775413,0.2976818761333081,0.43046193768770685,1.0
FLG,0.14357954106711662,0.8858324971053604,0.9279712391875804,1.0
SRGN,4.731819364175225,2.2251638660129193e-06,2.2813173848941736e-05,0.02839309093032485
SFRP2,-1.9174836912302495,0.05517651092688235,0.11653123779086035,1.0
SMC1A,-3.375472476276536,0.000736890624774871,0.0033740576590045005,1.0
IGLON5,5.02875463486421,4.93675616942245e-07,6.027276228263783e-06,0.006408403183527283
CDK20,-7.037931466998807,1.951146051765062e-12,7.146451523278353e-11,2.68341116499249e-08
PCDHB18,-1.7787619579989513,0.0752787965063541,0.14908133141992358,1.0
ENGASE,3.64832915899673,0.00026395133175892904,0.001413539366821113,1.0
ARID3A,-2.0034699435996126,0.04512687058194171,0.0994394788478011,1.0
IRS1,0.14139418498748363,0.8875585478288491,0.9291597740987981,1.0
SOX5,5.7452504606387,9.178502454504758e-09,1.6615322368986975e-07,0.00012260643578727455
ARL8B,3.984411900146692,6.764744767091755e-05,0.0004365128321184082,0.8082517047721228
CASKIN1,-0.3403374194999869,0.7336024405460859,0.8175682882264356,1.0
KIF26A,3.521732858745555,0.00042873594657808265,0.002128324723567743,1.0
LCORL,-0.11413532487657634,0.9091305199806842,0.9435045678198862,1.0
DIO3,5.226179624591698,1.730482547351375e-07,2.3652725638791666e-06,0.002267797378303977
COL6A1,1.1251607899446507,0.2605209051676952,0.39042236138020725,1.0
TMED6,-0.8934208725809337,0.371631829069629,0.5057398016542896,1.0
ATXN2,2.173495232022086,0.029743064285051527,0.07101966608040171,1.0
TPRG1L,2.8941766544447107,0.0038015422090652237,0.013283787383036118,1.0
ZNF706,-3.580666519004782,0.00034271884360196665,0.0017593896190430665,1.0
SENP8,0.9598599103754054,0.3371257251972134,0.47134923880915774,1.0
FUNDC1,5.764974071742694,8.16703959898398e-09,1.4918036931580814e-07,0.00010915248424042089
RABGAP1,0.7942944983845024,0.4270240061115653,0.558437276700149,1.0
PDZD4,-0.41024187277085006,0.6816285273497276,0.7778564952514689,1.0
SNAI3,-4.091770723737213,4.280917963579691e-05,0.00029323458415256624,0.5169208441022477
AUP1,0.39871111876532467,0.6901060742150585,0.7848700568942562,1.0
GSX1,2.1402716547386125,0.03233281931769351,0.07602218518435902,1.0
HPSE,0.6059527249541707,0.5445461462969724,0.6639752838591285,1.0
GJD3,0.7828373587695173,0.4337226262117808,0.5647755830189566,1.0
WISP1,-1.9669394833860792,0.049190187934114664,0.10624058616139827,1.0
FAM174A,1.0197148842266923,0.3078637005275239,0.4408119301253932,1.0
SYNE2,3.397892124772979,0.0006790719152814078,0.0031436538108213963,1.0
CHURC1,2.888091779859641,0.0038758676174679226,0.013473571766845707,1.0
RPL23,0.3456775377016078,0.7295850670833123,0.8145679284864463,1.0
PRKACB,1.1322702750780582,0.25752082300907775,0.38706077116322707,1.0
DBNDD1,3.3635820678633928,0.000769379572409764,0.003495336887766466,1.0
AGAP5,-2.88302569121797,0.003938753154526209,0.013631763932932184,1.0
SH3BGRL3,8.592175452294278,8.533794431122375e-18,6.837722035877156e-16,1.1915737164176172e-13
CEACAM22P,-0.5630463330516724,0.5734033341587289,0.6888245677913255,1.0
JARID2,-0.6747835437168211,0.499813297105692,0.6258400845346093,1.0
ALDOC,6.977928457146136,2.9956412684128375e-12,1.0614630639804686e-10,4.1160111027992386e-08
HPRT1,-1.5356215969471756,0.12463121417936922,0.22270426011980815,1.0
SLC6A6,-0.1794552050040399,0.8575802875239613,0.9073164787109006,1.0
LZTS1,3.9241332954959787,8.704253382430544e-05,0.0005416006199001255,1.0
COX8A,3.288006941867768,0.0010089935151451047,0.004378499176525933,1.0
RPS12,-0.27112766693224055,0.7862928431183116,0.8577629796301457,1.0
SERGEF,2.9675149584761247,0.0030021767403164675,0.010919674493078008,1.0
FBXL17,-1.4267085812754636,0.15366391112919464,0.2623159110775844,1.0
TCF3,-2.81536764379441,0.004872146153725427,0.016241366467483226,1.0
FARP2,1.5741744527476402,0.1154471238076862,0.20952393278473266,1.0
RPS3A,0.3809489493137216,0.7032411298097186,0.7945674972628309,1.0
AP2M1,2.9863611321467647,0.0028231902882022023,0.01036734137522149,1.0
PVRIG,0.7335053678075588,0.4632502551388221,0.593191930726625,1.0
PIGW,1.7911047071283908,0.07327649394737581,0.14581042525376486,1.0
CUL2,1.3875197564100228,0.1652833310784596,0.27700044272015906,1.0
IFI27L2,1.8744538305552627,0.060867899937229186,0.12581594091806433,1.0
